Comment,Designator,Footprint,LCSC
KEYSW,K12,CHERRY_PLATE_100H,
WS2812B,LED16,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED15,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED14,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED13,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED12,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED11,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED10,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED9,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
KEYSW,K19,CHERRY_PLATE_100H,
KEYSW,K20,CHERRY_PLATE_100H,
KEYSW,K23,CHERRY_PLATE_100H,
KEYSW,K24,CHERRY_PLATE_100H,
KEYSW,K17,CHERRY_PLATE_100H,
KEYSW,K22,CHERRY_PLATE_100H,
KEYSW,K21,CHERRY_PLATE_100H,
KEYSW,K18,CHERRY_PLATE_100H,
KEYSW,K16,CHERRY_PLATE_150H,
KEYSW,K15,CHERRY_PCB_200H,
KEYSW,K8,CHERRY_PLATE_100H,
KEYSW,K10,CHERRY_PLATE_100H,
KEYSW,K14,CHERRY_PLATE_100H,
KEYSW,K5,CHERRY_PLATE_100H,
KEYSW,K13,CHERRY_PLATE_100H,
KEYSW,K11,CHERRY_PLATE_100H,
KEYSW,K9,CHERRY_PLATE_100H,
KEYSW,K7,CHERRY_PLATE_100H,
KEYSW,K6,CHERRY_PLATE_100H,
KEYSW,K4,CHERRY_PLATE_100H,
KEYSW,K2,CHERRY_PLATE_100H,
KEYSW,K1,CHERRY_PLATE_100H,
KEYSW,K3,CHERRY_PLATE_100H,
KEYSW,K62-1,CHERRY_PLATE_100H,
KEYSW,K71,CHERRY_PLATE_125H,
KEYSW,K53,CHERRY_PLATE_100H,
KEYSW,K58-1,CHERRY_PLATE_175H,
KEYSW,K57,CHERRY_PLATE_100H,
KEYSW,K54,CHERRY_PLATE_100H,
KEYSW,K56,CHERRY_PLATE_100H,
KEYSW,K52,CHERRY_PLATE_100H,
KEYSW,K55,CHERRY_PLATE_100H,
KEYSW,K61-1,CHERRY_PLATE_150H,
KEYSW,K15-1,CHERRY_PLATE_100H,
KEYSW,K74,CHERRY_PLATE_125H,
KEYSW,K73,CHERRY_PLATE_125H,
KEYSW,K28,CHERRY_PLATE_100H,
KEYSW,K48,CHERRY_PLATE_100H,
KEYSW,K25,CHERRY_PLATE_100H,
KEYSW,K36,CHERRY_PLATE_100H,
KEYSW,K33,CHERRY_PLATE_100H,
KEYSW,K63,CHERRY_PLATE_125H,
KEYSW,K44,CHERRY_PCB_225H_F,
KEYSW,K72,CHERRY_PLATE_125H,
KEYSW,K59,CHERRY_PLATE_100H,
KEYSW,K39,CHERRY_PLATE_100H,
KEYSW,K61,CHERRY_PLATE_125H,
KEYSW,K29,CHERRY_PLATE_150H,
KEYSW,K27,CHERRY_PLATE_100H,
KEYSW,K63-1,CHERRY_PLATE_150H,
KEYSW,K50,CHERRY_PLATE_100H,
KEYSW,K34,CHERRY_PLATE_100H,
KEYSW,K47,CHERRY_PLATE_100H,
KEYSW,K43,CHERRY_PLATE_100H,
KEYSW,K38,CHERRY_PLATE_100H,
KEYSW,K35,CHERRY_PLATE_100H,
KEYSW,K32,CHERRY_PLATE_100H,
KEYSW,K40,CHERRY_PLATE_100H,
KEYSW,K46,CHERRY_PCB_225H,
KEYSW,K42,CHERRY_PLATE_100H,
KEYSW,K41,CHERRY_PLATE_100H,
KEYSW,K26,CHERRY_PLATE_100H,
KEYSW,K37,CHERRY_PLATE_100H,
KEYSW,K51,CHERRY_PLATE_100H,
KEYSW,K73-1,CHERRY_PLATE_100H,
KEYSW,K62,CHERRY_PLATE_125H,
KEYSW,K49,CHERRY_PLATE_100H,
KEYSW,K72-1,CHERRY_PLATE_150H,
KEYSW,K74-1,CHERRY_PLATE_150H,
Screw,S5,10x5_7x2.5mm,
KEYSW,K58,CHERRY_PCB_275H,
KEYSW,K67,CHERRY_PCB_625H_F,
Tofu screw,S8,5.5_5x2.5mm,
Tofu screw,S7,5.5_5x2.5mm,
Tofu screw,S9,5.5_5x2.5mm,
Screw,S2,5.5_5x2.5mm,
Screw,S1,5.5_5x2.5mm,
Screw,S3,5.5_5x2.5mm,
Screw,S6,5.5_5x2.5mm,
KEYSW,K67-1,CHERRY_PCB_700H_F,
KEYSW,K44-1,CHERRY_PCB_200H_V,
KEYSW,K31-1,CHERRY_PLATE_125H,
KEYSW,K31,CHERRY_PLATE_175H,
Screw,S4,10x5_7x2.5mm,
D,D73,D_0805,
D,D72,D_0805,
D,D71,D_0805,
D,D67,D_0805,
D,D63,D_0805,
D,D59,D_0805,
D,D58,D_0805,
D,D57,D_0805,
D,D56,D_0805,
D,D53,D_0805,
D,D51,D_0805,
D,D50,D_0805,
D,D27,D_0805,
D,D42,D_0805,
D,D18,D_0805,
D,D25,D_0805,
D,D41,D_0805,
D,D36,D_0805,
D,D31,D_0805,
D,D40,D_0805,
D,D37,D_0805,
D,D32,D_0805,
D,D34,D_0805,
D,D21,D_0805,
D,D26,D_0805,
D,D22,D_0805,
D,D24,D_0805,
D,D43,D_0805,
D,D38,D_0805,
D,D35,D_0805,
D,D48,D_0805,
D,D54,D_0805,
D,D44,D_0805,
D,D62,D_0805,
D,D39,D_0805,
D,D20,D_0805,
D,D28,D_0805,
D,D33,D_0805,
D,D23,D_0805,
D,D55,D_0805,
D,D52,D_0805,
D,D19,D_0805,
D,D10,D_0805,
D,D14,D_0805,
D,D9,D_0805,
D,D13,D_0805,
D,D11,D_0805,
D,D15,D_0805,
D,D17,D_0805,
D,D16,D_0805,
D,D12,D_0805,
D,D7,D_0805,
D,D3,D_0805,
D,D5,D_0805,
D,D8,D_0805,
D,D6,D_0805,
D,D4,D_0805,
D,D74,D_0805,
D,D49,D_0805,
D,D46,D_0805,
D,D29,D_0805,
D,D1,D_0805,
D,D47,D_0805,
D,D2,D_0805,
D,D61,D_0805,
4P4C,J1,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,
ProS3,U1,ProS3_TH,
