Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_0805,15.757287,-16.796061,180.0,bottom
D2,D,D_0805,39.885971,-10.715634,90.0,bottom
D3,D,D_0805,55.364109,-10.715634,90.0,bottom
D4,D,D_0805,58.935987,-10.715634,90.0,bottom
D5,D,D_0805,77.986003,-10.715634,90.0,bottom
D6,D,D_0805,97.036019,-10.715634,90.0,bottom
D7,D,D_0805,116.086035,-10.715634,90.0,bottom
D8,D,D_0805,135.136051,-10.715634,90.0,bottom
D9,D,D_0805,154.186067,-10.715634,90.0,bottom
D10,D,D_0805,173.236083,-10.715634,90.0,bottom
D11,D,D_0805,192.286099,-10.715634,90.0,bottom
D12,D,D_0805,211.336115,-10.715634,90.0,bottom
D13,D,D_0805,230.386131,-10.715634,90.0,bottom
D14,D,D_0805,249.436147,-10.715634,90.0,bottom
D15,D,D_0805,245.864269,-10.715634,90.0,bottom
D16,D,D_0805,4.835287,-27.972061,90.0,bottom
D17,D,D_0805,45.839101,-29.76565,90.0,bottom
D18,D,D_0805,49.410979,-29.76565,90.0,bottom
D19,D,D_0805,68.460995,-29.76565,90.0,bottom
D20,D,D_0805,87.511011,-29.76565,90.0,bottom
D21,D,D_0805,106.561027,-29.76565,90.0,bottom
D22,D,D_0805,125.611043,-29.76565,90.0,bottom
D23,D,D_0805,144.661059,-29.76565,90.0,bottom
D24,D,D_0805,163.711075,-29.76565,90.0,bottom
D25,D,D_0805,182.761091,-29.76565,90.0,bottom
D26,D,D_0805,201.811107,-29.76565,90.0,bottom
D27,D,D_0805,220.861123,-29.76565,90.0,bottom
D28,D,D_0805,239.911139,-29.76565,90.0,bottom
D29,D,D_0805,236.339261,-29.76565,90.0,bottom
D31,D,D_0805,53.57817,-48.815666,90.0,bottom
D32,D,D_0805,50.601605,-48.815666,90.0,bottom
D33,D,D_0805,69.651621,-48.815666,90.0,bottom
D34,D,D_0805,73.223499,-48.815666,90.0,bottom
D35,D,D_0805,92.273515,-48.815666,90.0,bottom
D36,D,D_0805,111.323531,-48.815666,90.0,bottom
D37,D,D_0805,145.851685,-48.815666,90.0,bottom
D38,D,D_0805,149.423563,-48.815666,90.0,bottom
D39,D,D_0805,168.473579,-48.815666,90.0,bottom
D40,D,D_0805,187.523595,-48.815666,90.0,bottom
D41,D,D_0805,206.573611,-48.815666,90.0,bottom
D42,D,D_0805,225.623627,-48.815666,90.0,bottom
D43,D,D_0805,244.673643,-48.815666,90.0,bottom
D44,D,D_0805,272.297287,-51.156061,90.0,bottom
D46,D,D_0805,41.076597,-67.865682,90.0,bottom
D47,D,D_0805,44.648475,-67.865682,90.0,bottom
D48,D,D_0805,60.126613,-67.865682,90.0,bottom
D49,D,D_0805,63.698491,-67.865682,90.0,bottom
D50,D,D_0805,82.748507,-67.865682,90.0,bottom
D51,D,D_0805,101.798523,-67.865682,90.0,bottom
D52,D,D_0805,120.848539,-67.865682,90.0,bottom
D53,D,D_0805,139.898555,-67.865682,90.0,bottom
D54,D,D_0805,158.948571,-67.865682,90.0,bottom
D55,D,D_0805,177.998587,-67.865682,90.0,bottom
D56,D,D_0805,197.048603,-67.865682,90.0,bottom
D57,D,D_0805,216.098619,-67.865682,90.0,bottom
D58,D,D_0805,242.292391,-67.865682,90.0,bottom
D59,D,D_0805,268.486163,-67.865682,90.0,bottom
D61,D,D_0805,45.839101,-86.915698,90.0,bottom
D62,D,D_0805,51.792231,-86.915698,90.0,bottom
D63,D,D_0805,69.651621,-86.915698,90.0,bottom
D67,D,D_0805,150.614189,-86.915698,90.0,bottom
D71,D,D_0805,210.145489,-86.915698,90.0,bottom
D72,D,D_0805,216.098619,-86.915698,90.0,bottom
D73,D,D_0805,239.911139,-86.915698,90.0,bottom
D74,D,D_0805,233.958009,-86.915698,90.0,bottom
J1,4P4C,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,53.518574,-6.018077,0.0,bottom
LED1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,7.883287,-17.304061,180.0,bottom
LED2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,47.507287,-14.764061,180.0,bottom
LED3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.131287,-15.272061,180.0,bottom
LED4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.485287,-15.272061,180.0,bottom
LED5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,168.665287,-14.510061,180.0,bottom
LED6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,216.417287,-15.018061,180.0,bottom
LED7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,267.471287,-16.034061,180.0,bottom
LED8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,274.837287,-44.736061,180.0,bottom
LED9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,263.153287,-74.454061,0.0,bottom
LED10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,210.067287,-71.660061,0.0,bottom
LED11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,170.189287,-71.914061,0.0,bottom
LED12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,129.295287,-72.168061,0.0,bottom
LED13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.767287,-71.914061,0.0,bottom
LED14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.873287,-72.676061,0.0,bottom
LED15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,17.535287,-71.406061,180.0,bottom
LED16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,18.043287,-54.642061,180.0,bottom
